<DOCUMENT>
<TYPE>13F-HR
<SEQUENCE>1
<FILENAME>ren_13f_q3_2012.txt
<DESCRIPTION>13F Q3 2012
<TEXT>
                                  UNITED STATES
                       SECURITIES AND EXCHANGE COMMISSION
                             Washington, D.C. 20549

                                    FORM 13F

                               FORM 13F COVER PAGE

Report for the Calendar Year or Quarter Ended:  September 30, 2012
Check here if Amendment [ ]; Amendment Number:
This Amendment (Check only one.): [ ] is a restatement.
                                  [ ] adds new holdings entries.

Institutional Investment Manager Filing this report:

Name:    Renaissance Technologies, L.L.C.
Address: 800 Third Avenue
         33rd floor
         New York, NY 10022

13F File Number:  28-6262

The institutional investment manager filing this report and the person
by whom it is signed hereby represent that the person
signing the report is authorized to submit it, that all information
contained herein is true, correct and complete, and that it is
understood that all required items, statements, schedules, lists, and
tables, are considered integral parts of this form.


Person Signing this Report on Behalf of Reporting Manager:

Name:    Mark Silber
Title:   Executive Vice President
Phone    (212) 486-6780
Signature, Place, and Date of Signing:

       Mark Silber       New York, New York    November 13, 2012
Report Type (Check only one.):

[X]         13F HOLDINGS REPORT.
[ ]         13F NOTICE.
[ ]         13F COMBINATION REPORT.

I AM SIGNING THIS REPORT AS REQUIRED BY THE SECURITIES EXCHANGE ACT OF 1934.




                              FORM 13F SUMMARY PAGE


Report Summary:

Number of Other Included Managers:       0

Form 13F Information Table Entry Total:  2802
Form 13F Information Table Value (x $1000) Total:  $32566460

<TABLE>                        <C>                                          <C>
       FORM 13F INFORMATION TABLE
                                                         VALUE    SHARES/ SH/ PUT/ INVSTMT   OTHER         VOTING AUTHORITY
       NAME OF ISSUER         TITLE OF CLASS   CUSIP    (x1000)   PRN AMT PRN CALL DSCREIN  MANAGERS     SOLE    SHARED   NONE
INSIGNIA SYS INC             COM              45765Y105      478   277800 SH       SOLE                  277800        0        0
INSMED INC                   COM PAR $.01     457669307       49    10711 SH       SOLE                       0        0    10711
INSPERITY INC                COM              45778Q107     2399    95096 SH       SOLE                   70398        0    24698
INTEGRATED DEVICE TECHNOLOGY COM              458118106     5768   982654 SH       SOLE                  341004        0   641650
INTEGRATED ELECTRICAL SVC    COM              45811E301      782   171800 SH       SOLE                  171800        0        0
INTEGRATED SILICON SOLUTION  COM              45812P107      158    17100 SH       SOLE                   17100        0        0
INTEGRYS ENERGY GROUP INC    COM              45822P105      584    11197 SH       SOLE                       0        0    11197
INTEL CORP                   COM              458140100   423501 18693494 SH       SOLE                14546900        0  4146594
INTELLICHECK MOBILISA INC    COM              45817G102       34    20100 SH       SOLE                   20100        0        0
INTERACTIVE BROKERS GROUP IN COM              45841N107     3694   263500 SH       SOLE                   78956        0   184544
INTERCONTINENTAL HTLS GRP PL SPONS ADR NEW    45857P301     4919   187374 SH       SOLE                   12374        0   175000
INTERCONTINENTALEXCHANGE INC COM              45865V100     1014     7600 SH       SOLE                     100        0     7500
INTERDIGITAL INC             COM              45867G101     2277    61100 SH       SOLE                   61100        0        0
INTERMEC INC                 COM              458786100      372    59900 SH       SOLE                    5580        0    54320
INTERMUNE INC                COM              45884X103     3246   362329 SH       SOLE                    1600        0   360729
INTERNAP NETWORK SVCS CORP   COM PAR $.001    45885A300     2398   340200 SH       SOLE                  340200        0        0
INTERNATIONAL FLAVORS&FRAGRA COM              459506101    12190   204598 SH       SOLE                   50138        0   154460
INTERNATIONAL SHIPHOLDING CO COM NEW          460321201     3902   231300 SH       SOLE                  231300        0        0
INTERNATIONAL TOWER HILL MIN COM              46050R102      363   127500 SH       SOLE                       0        0   127500
INTERNET GOLD-GOLDEN LINES L ORD              M56595107      486   145000 SH       SOLE                  145000        0        0
INTERNET INITIATIVE JAPAN IN SPONSORED ADR    46059T109     4140   305500 SH       SOLE                  305500        0        0
INTERNET PATENTS CORP        COM              46063G101      215    60200 SH       SOLE                   60200        0        0
INTERPHASE CORP              COM              460593106     1135   351400 SH       SOLE                  351400        0        0
INTERSECTIONS INC            COM              460981301     6819   647000 SH       SOLE                  604800        0    42200
INTERSIL CORP                CL A             46069S109    19641  2247272 SH       SOLE                 1688865        0   558407
INTERVAL LEISURE GROUP INC   COM              46113M108     3261   172497 SH       SOLE                  167100        0     5397
INTERVEST BANCSHARES CORP    COM              460927106      504   132500 SH       SOLE                  132500        0        0
INTERXION HOLDING N.V        SHS              N47279109      975    42900 SH       SOLE                       0        0    42900
INTEST CORP                  COM              461147100      723   276100 SH       SOLE                  276100        0        0
INTEVAC INC                  COM              461148108      274    44900 SH       SOLE                   44900        0        0
INTRALINKS HLDGS INC         COM              46118H104     3646   557500 SH       SOLE                  452926        0   104574
INTREPID POTASH INC          COM              46121Y102    13788   641900 SH       SOLE                  641900        0        0
INTRICON CORP                COM              46121H109      584   114500 SH       SOLE                  114500        0        0
INTUIT                       COM              461202103    39329   667948 SH       SOLE                   32545        0   635403
INTUITIVE SURGICAL INC       COM NEW          46120E602    77997   157370 SH       SOLE                   53710        0   103660
INUVO INC                    COM NEW          46122W204      418   572020 SH       SOLE                  572020        0        0
INVENSENSE INC               COM              46123D205     4476   374600 SH       SOLE                       0        0   374600
INVENTURE FOODS INC          COM              461212102      455    79900 SH       SOLE                   79900        0        0
INVESCO LTD                  SHS              G491BT108     7652   306200 SH       SOLE                       0        0   306200
INVESCO MORTGAGE CAPITAL INC COM              46131B100     3581   177900 SH       SOLE                    1000        0   176900
INVESTMENT TECHNOLOGY GRP NE COM              46145F105     2329   267700 SH       SOLE                  149701        0   117999
INVESTORS BANCORP INC        COM              46146P102    15913   872418 SH       SOLE                  872418        0        0
INVESTORS REAL ESTATE TR     SH BEN INT       461730103     1390   167900 SH       SOLE                  167900        0        0
ION GEOPHYSICAL CORP         COM              462044108     1102   158800 SH       SOLE                       0        0   158800
IPARTY CORP                  COM              46261R107       10    43900 SH       SOLE                   43900        0        0
IPASS INC                    COM              46261V108     3982  1810000 SH       SOLE                 1810000        0        0
IPG PHOTONICS CORP           COM              44980X109    14938   260690 SH       SOLE                   54658        0   206032
IRELAND BK                   SPNSRD ADR NEW   46267Q202     1731   313560 SH       SOLE                  188900        0   124660
IRIDEX CORP                  COM              462684101      370    99900 SH       SOLE                   99900        0        0
IRIDIUM COMMUNICATIONS INC   COM              46269C102     1391   190000 SH       SOLE                  190000        0        0
IRIS INTL INC                COM              46270W105      490    25100 SH       SOLE                   25100        0        0
IRON MTN INC                 COM              462846106    17538   514150 SH       SOLE                  116239        0   397911
IRSA INVERSIONES Y REP S A   GLOBL DEP RCPT   450047204     3822   546785 SH       SOLE                  515140        0    31645
ISHARES INC                  MSCI BRAZIL      464286400     2573    47600 SH       SOLE                   47600        0        0
ISHARES INC                  MSCI MEX INVEST  464286822     3551    54300 SH       SOLE                   54300        0        0
ISHARES INC                  MSCI TAIWAN      464286731      423    31600 SH       SOLE                   31600        0        0
ISHARES TR                   BARCLYS 20+ YR   464287432     2074    16700 SH       SOLE                   16700        0        0
ISHARES TR                   FTSE CHINA25 IDX 464287184     2356    68100 SH       SOLE                   68100        0        0
ISHARES TR                   MSCI EMERG MKT   464287234    37461   906500 SH       SOLE                  906500        0        0
ISIS PHARMACEUTICALS INC     COM              464330109      674    47900 SH       SOLE                   47900        0        0
ISLE OF CAPRI CASINOS INC    COM              464592104      619    89000 SH       SOLE                   89000        0        0
ISOFTSTONE HLDGS LTD         SPONSORED ADS    46489B108      177    33180 SH       SOLE                   10500        0    22680
ITERIS INC                   COM              46564T107      213   140800 SH       SOLE                  140800        0        0
ITT CORP NEW                 COM NEW          450911201     2388   118500 SH       SOLE                       0        0   118500
ITT EDUCATIONAL SERVICES INC COM              45068B109     7361   228400 SH       SOLE                  228400        0        0
ITURAN LOCATION AND CONTROL  SHS              M6158M104     4746   407000 SH       SOLE                  401800        0     5200
IVANHOE ENERGY INC           COM              465790103       95   183610 SH       SOLE                    6383        0   177227
IXIA                         COM              45071R109     1279    79620 SH       SOLE                   70800        0     8820
J & J SNACK FOODS CORP       COM              466032109    13392   233600 SH       SOLE                  233600        0        0
J ALEXANDERS CORP            COM              466096104      469    32400 SH       SOLE                    1361        0    31039
J2 GLOBAL INC                COM              48123V102    18258   556300 SH       SOLE                  556300        0        0
JA SOLAR HOLDINGS CO LTD     SPON ADR         466090107     1866  2174500 SH       SOLE                 2174500        0        0
JACADA LTD                   SHS NEW          M6184R119      100    58575 SH       SOLE                   58575        0        0
JACK IN THE BOX INC          COM              466367109     1349    48000 SH       SOLE                     400        0    47600
JAGUAR MNG INC               COM              47009M103      690   574700 SH       SOLE                   32031        0   542669
JAKKS PAC INC                COM              47012E106      736    50530 SH       SOLE                   50530        0        0
JAMBA INC                    COM              47023A101     1462   655554 SH       SOLE                  374600        0   280954
JAZZ PHARMACEUTICALS PLC     SHS USD          G50871105    65010  1140552 SH       SOLE                  638015        0   502537
JETBLUE AIRWAYS CORP         COM              477143101    45442  9476900 SH       SOLE                 9476900        0        0
JEWETT CAMERON TRADING LTD   COM NEW          47733C207      219    16100 SH       SOLE                   16100        0        0
JIAYUAN COM INTL LTD         SPONSORED ADR    477374102      371    68600 SH       SOLE                   68600        0        0
JINPAN INTL LTD              ORD              G5138L100      137    28100 SH       SOLE                    8223        0    19877
JMP GROUP INC                COM              46629U107      162    29573 SH       SOLE                   20300        0     9273
JOES JEANS INC               COM              47777N101      182   168700 SH       SOLE                  168700        0        0
JOHNSON & JOHNSON            COM              478160104     3211    46600 SH       SOLE                       0        0    46600
JOHNSON CTLS INC             COM              478366107      701    25600 SH       SOLE                       0        0    25600
JOHNSON OUTDOORS INC         CL A             479167108     2445   114300 SH       SOLE                  114300        0        0
JONES LANG LASALLE INC       COM              48020Q107     1748    22900 SH       SOLE                     160        0    22740
JOURNAL COMMUNICATIONS INC   CL A             481130102      389    74800 SH       SOLE                   74800        0        0
JOY GLOBAL INC               COM              481165108     8825   157425 SH       SOLE                       0        0   157425
JUNIPER NETWORKS INC         COM              48203R104    13560   792491 SH       SOLE                  102434        0   690057
K-SWISS INC                  CL A             482686102      431   125760 SH       SOLE                   35300        0    90460
KADANT INC                   COM              48282T104      366    15800 SH       SOLE                   15800        0        0
KAISER ALUMINUM CORP         COM PAR $0.01    483007704     3147    53900 SH       SOLE                    4095        0    49805
KAISER FED FINL GROUP INC    COM              483056107     1151    76301 SH       SOLE                   63439        0    12862
KAR AUCTION SVCS INC         COM              48238T109      422    21400 SH       SOLE                   21400        0        0
KBR INC                      COM              48242W106    23149   776300 SH       SOLE                   39878        0   736422
KEARNY FINL CORP             COM              487169104     3509   360300 SH       SOLE                  360300        0        0
KEEGAN RES INC               COM              487275109      759   204700 SH       SOLE                       0        0   204700
KELLOGG CO                   COM              487836108    23386   452700 SH       SOLE                  272600        0   180100
KELLY SVCS INC               CL A             488152208     1091    86608 SH       SOLE                      97        0    86511
KEMET CORP                   COM NEW          488360207      732   166299 SH       SOLE                     739        0   165560
KENEXA CORP                  COM              488879107    11852   258600 SH       SOLE                   50045        0   208555
KENNAMETAL INC               COM              489170100    25678   692500 SH       SOLE                  237928        0   454572
KENNEDY-WILSON HLDGS INC     COM              489398107     2645   189300 SH       SOLE                  188700        0      600
KEY TECHNOLOGY INC           COM              493143101      804    83100 SH       SOLE                   83100        0        0
KEYNOTE SYS INC              COM              493308100     8066   557040 SH       SOLE                  548900        0     8140
KEYW HLDG CORP               COM              493723100      368    29400 SH       SOLE                       0        0    29400
KID BRANDS INC               COM              49375T100      119    77800 SH       SOLE                   77800        0        0
KIMBALL INTL INC             CL B             494274103     5598   458121 SH       SOLE                  262244        0   195877
KIMCO RLTY CORP              COM              49446R109     1866    92067 SH       SOLE                       0        0    92067
KINDER MORGAN ENERGY PARTNER UT LTD PARTNER   494550106    34460   417700 SH       SOLE                       0        0   417700
KINDER MORGAN INC DEL        COM              49456B101    11109   312766 SH       SOLE                    1000        0   311766
KINDER MORGAN MANAGEMENT LLC SHS              49455U100     7321    95831 SH       SOLE                       0        0    95831
KINDRED HEALTHCARE INC       COM              494580103     1154   101411 SH       SOLE                       0        0   101411
KINGTONE WIRELESSINFO SOL HL SPONSORED ADR    496880105       15    72900 SH       SOLE                   72900        0        0
KIRBY CORP                   COM              497266106     9221   166800 SH       SOLE                   15770        0   151030
KIRKLANDS INC                COM              497498105     1148   115600 SH       SOLE                   49925        0    65675
KIT DIGITAL INC              COM NEW          482470200      182    60690 SH       SOLE                      97        0    60593
KITE RLTY GROUP TR           COM              49803T102      790   154958 SH       SOLE                  102034        0    52924
KKR & CO L P DEL             COM UNITS        48248M102     2445   161800 SH       SOLE                       0        0   161800
KKR FINANCIAL HLDGS LLC      COM              48248A306     2498   248540 SH       SOLE                       0        0   248540
KLA-TENCOR CORP              COM              482480100    91812  1924584 SH       SOLE                 1097249        0   827335
KMG CHEMICALS INC            COM              482564101      485    26200 SH       SOLE                   26200        0        0
KNIGHT CAP GROUP INC         CL A COM         499005106       54    20315 SH       SOLE                       0        0    20315
KNIGHT TRANSN INC            COM              499064103     7887   551550 SH       SOLE                  179266        0   372284
KNOLL INC                    COM NEW          498904200     2065   148040 SH       SOLE                      17        0   148023
KOBEX MINERALS INC           COM              49989C105       83   156165 SH       SOLE                  156165        0        0
KOHLS CORP                   COM              500255104    13466   262900 SH       SOLE                  262900        0        0
KONA GRILL INC               COM              50047H201     3274   365859 SH       SOLE                  346159        0    19700
KONAMI CORP                  SPONSORED ADR    50046R101      278    12300 SH       SOLE                   12300        0        0
KONGZHONG CORP               SPONSORED ADR    50047P104     9813  1460300 SH       SOLE                 1438600        0    21700
KOPIN CORP                   COM              500600101     1246   331300 SH       SOLE                  331300        0        0
KOPPERS HOLDINGS INC         COM              50060P106      328     9400 SH       SOLE                      63        0     9337
KOREA ELECTRIC PWR           SPONSORED ADR    500631106      857    69000 SH       SOLE                    2900        0    66100
KORN FERRY INTL              COM NEW          500643200     2807   183100 SH       SOLE                   33863        0   149237
KOSMOS ENERGY LTD            SHS              G5315B107      164    14400 SH       SOLE                   14400        0        0
KRATOS DEFENSE & SEC SOLUTIO COM NEW          50077B207      509    87092 SH       SOLE                       0        0    87092
KRISPY KREME DOUGHNUTS INC   COM              501014104      313    39464 SH       SOLE                     918        0    38546
KSW INC                      COM              48268R106      938   188390 SH       SOLE                  188390        0        0
KU6 MEDIA CO LTD             SPONSORED ADR    48274B103      250   242614 SH       SOLE                  242614        0        0
KULICKE & SOFFA INDS INC     COM              501242101    13867  1332734 SH       SOLE                 1314200        0    18534
KVH INDS INC                 COM              482738101      838    62100 SH       SOLE                   62100        0        0
KYOCERA CORP                 ADR              501556203    22098   255500 SH       SOLE                  255400        0      100
L & L ENERGY INC             COM              50162D100       93    53296 SH       SOLE                   22075        0    31221
LA Z BOY INC                 COM              505336107     2028   138600 SH       SOLE                       0        0   138600
LAKELAND BANCORP INC         COM              511637100      739    71409 SH       SOLE                   71409        0        0
LAKELAND FINL CORP           COM              511656100      737    26700 SH       SOLE                   26700        0        0
LAKELAND INDS INC            COM              511795106      133    22300 SH       SOLE                   22300        0        0
LAKES ENTMNT INC             COM              51206P109      128    60000 SH       SOLE                   60000        0        0
LAM RESEARCH CORP            COM              512807108    70372  2214356 SH       SOLE                  498428        0  1715928
LANCASTER COLONY CORP        COM              513847103    21437   292662 SH       SOLE                  252672        0    39990
LANDAUER INC                 COM              51476K103     4563    76400 SH       SOLE                   76400        0        0
LANDEC CORP                  COM              514766104     3552   310200 SH       SOLE                  310200        0        0
LANDSTAR SYS INC             COM              515098101     8101   171340 SH       SOLE                   28022        0   143318
LANNET INC                   COM              516012101      128    26500 SH       SOLE                   26500        0        0
LANTRONIX INC                COM NEW          516548203      140    80666 SH       SOLE                   80666        0        0
LASALLE HOTEL PPTYS          COM SH BEN INT   517942108     1580    59200 SH       SOLE                    1100        0    58100
LATTICE SEMICONDUCTOR CORP   COM              518415104     8340  2171800 SH       SOLE                 2171800        0        0
LAUDER ESTEE COS INC         CL A             518439104   157330  2555300 SH       SOLE                 1675820        0   879480
LAWSON PRODS INC             COM              520776105      321    46435 SH       SOLE                   31100        0    15335
LAYNE CHRISTENSEN CO         COM              521050104     2015   102754 SH       SOLE                     166        0   102588
LCA-VISION INC               COM PAR $.001    501803308     2459   608604 SH       SOLE                  574508        0    34096
LE GAGA HLDGS LTD            SPONSORED ADR    521168104      304    79300 SH       SOLE                   79300        0        0
LEADING BRANDS INC           COM NEW          52170U207      178    41900 SH       SOLE                   41900        0        0
LEAPFROG ENTERPRISES INC     CL A             52186N106     9231  1023400 SH       SOLE                  364272        0   659128
LEAR CORP                    COM NEW          521865204    40398  1069000 SH       SOLE                  757782        0   311218
LEARNING TREE INTL INC       COM              522015106     3191   627000 SH       SOLE                  627000        0        0
LEGACY RESERVES LP           UNIT LP INT      524707304     3016   104600 SH       SOLE                       0        0   104600
LEGG MASON INC               COM              524901105     6247   253100 SH       SOLE                       0        0   253100
LENDER PROCESSING SVCS INC   COM              52602E102     7053   252900 SH       SOLE                   74652        0   178248
LENNAR CORP                  CL A             526057104    32646   938900 SH       SOLE                       0        0   938900
LENNAR CORP                  CL B             526057302     2109    78300 SH       SOLE                   63800        0    14500
LENTUO INTL INC              SPONSORED ADS    526353107       34    22900 SH       SOLE                   22900        0        0
LEUCADIA NATL CORP           COM              527288104     4518   198600 SH       SOLE                       0        0   198600
LEXINGTON REALTY TRUST       COM              529043101      415    42982 SH       SOLE                       1        0    42981
LGL GROUP INC                COM              50186A108      387    61400 SH       SOLE                   61400        0        0
LHC GROUP INC                COM              50187A107      933    50500 SH       SOLE                    8353        0    42147
LIBERTY GLOBAL INC           COM SER A        530555101    24202   398379 SH       SOLE                     671        0   397708
LIBERTY GLOBAL INC           COM SER C        530555309     6457   114261 SH       SOLE                   12402        0   101859
LIFE PARTNERS HOLDINGS INC   COM              53215T106      296   109594 SH       SOLE                  109594        0        0
LIFETIME BRANDS INC          COM              53222Q103      183    15400 SH       SOLE                    4600        0    10800
LIFEWAY FOODS INC            COM              531914109      249    26200 SH       SOLE                   26200        0        0
LIHUA INTL INC               COM              532352101      627   175985 SH       SOLE                  127885        0    48100
LILLY ELI & CO               COM              532457108   431640  9104405 SH       SOLE                 7864400        0  1240005
LIME ENERGY CO               COM NEW          53261U205       60    84300 SH       SOLE                   84300        0        0
LIMELIGHT NETWORKS INC       COM              53261M104      341   145919 SH       SOLE                    6250        0   139669
LINCOLN EDL SVCS CORP        COM              533535100      927   220700 SH       SOLE                  220700        0        0
LINCOLN ELEC HLDGS INC       COM              533900106    13411   343441 SH       SOLE                  104895        0   238546
LINDSAY CORP                 COM              535555106     6478    90005 SH       SOLE                   15745        0    74260
LINEAR TECHNOLOGY CORP       COM              535678106   241227  7581000 SH       SOLE                 6762701        0   818299
LINKEDIN CORP                COM CL A         53578A108   144468  1199900 SH       SOLE                  561200        0   638700
LINKTONE LTD                 ADR              535925101     2875  1080947 SH       SOLE                 1080947        0        0
LINN ENERGY LLC              UNIT LTD LIAB    536020100    14706   356600 SH       SOLE                       0        0   356600
LIONBRIDGE TECHNOLOGIES INC  COM              536252109      260    73800 SH       SOLE                   73800        0        0
LIONS GATE ENTMNT CORP       COM NEW          535919203     5561   364200 SH       SOLE                   39231        0   324969
LIQUIDITY SERVICES INC       COM              53635B107    29066   578900 SH       SOLE                  578900        0        0
LITTELFUSE INC               COM              537008104      226     3992 SH       SOLE                       0        0     3992
LIVE NATION ENTERTAINMENT IN COM              538034109     7801   906066 SH       SOLE                  399423        0   506643
LIVEPERSON INC               COM              538146101     5560   307000 SH       SOLE                  307000        0        0
LJ INTL INC                  ORD              G55312105      129    70800 SH       SOLE                   70800        0        0
LLOYDS BANKING GROUP PLC     SPONSORED ADR    539439109     2611  1048400 SH       SOLE                  794151        0   254249
LML PMT SYS INC              COM              50208P109      884   259960 SH       SOLE                  247060        0    12900
LNB BANCORP INC              COM              502100100       92    15100 SH       SOLE                   15100        0        0
LO-JACK CORP                 COM              539451104     1471   653600 SH       SOLE                  653600        0        0
LOEWS CORP                   COM              540424108    28766   697200 SH       SOLE                  264588        0   432612
LONE PINE RES INC            COM              54222A106     1441   923792 SH       SOLE                  258063        0   665729
LOOKSMART LTD                COM NEW          543442503      808   951000 SH       SOLE                  951000        0        0
LORAL SPACE & COMMUNICATNS I COM              543881106     4877    68600 SH       SOLE                   48300        0    20300
LORILLARD INC                COM              544147101   193016  1657500 SH       SOLE                 1591100        0    66400
LSB INDS INC                 COM              502160104      452    10300 SH       SOLE                   10300        0        0
LSI CORPORATION              COM              502161102    20289  2936144 SH       SOLE                   50700        0  2885444
LSI INDS INC                 COM              50216C108      175    25900 SH       SOLE                   25900        0        0
LTC PPTYS INC                COM              502175102     1755    55100 SH       SOLE                    5303        0    49797
LTX-CREDENCE CORP            COM NEW          502403207     6393  1111900 SH       SOLE                 1111900        0        0
LUFKIN INDS INC              COM              549764108     8017   148962 SH       SOLE                       0        0   148962
LULULEMON ATHLETICA INC      COM              550021109    32467   439100 SH       SOLE                       0        0   439100
LUMOS NETWORKS CORP          COM              550283105      178    22600 SH       SOLE                       0        0    22600
LUNA INNOVATIONS             COM              550351100       33    20000 SH       SOLE                   20000        0        0
LYDALL INC DEL               COM              550819106     2984   211800 SH       SOLE                  211800        0        0
M D C HLDGS INC              COM              552676108      276     7166 SH       SOLE                       0        0     7166
M/I HOMES INC                COM              55305B101      909    47000 SH       SOLE                   47000        0        0
MAC-GRAY CORP                COM              554153106     1037    77300 SH       SOLE                   77300        0        0
MACATAWA BK CORP             COM              554225102      216    70000 SH       SOLE                   70000        0        0
MACERICH CO                  COM              554382101    14091   246219 SH       SOLE                     127        0   246092
MACQUARIE INFRASTR CO LLC    MEMBERSHIP INT   55608B105    12963   312500 SH       SOLE                  148032        0   164468
MAD CATZ INTERACTIVE INC     COM              556162105      354   583500 SH       SOLE                  583500        0        0
MADDEN STEVEN LTD            COM              556269108      925    21152 SH       SOLE                       0        0    21152
MADISON SQUARE GARDEN CO     CL A             55826P100     6391   158700 SH       SOLE                   73337        0    85363
MAGAL SECURITY SYS LTD       ORD              M6786D104      496   130900 SH       SOLE                  130900        0        0
MAGELLAN HEALTH SVCS INC     COM NEW          559079207    55465  1074700 SH       SOLE                 1074700        0        0
MAGELLAN MIDSTREAM PRTNRS LP COM UNIT RP LP   559080106    17055   195008 SH       SOLE                       0        0   195008
MAGELLAN PETE CORP           COM              559091301     1827  1739800 SH       SOLE                 1739800        0        0
MAGIC SOFTWARE ENTERPRISES L ORD              559166103      143    32452 SH       SOLE                   18900        0    13552
MAGNA INTL INC               COM              559222401      973    22500 SH       SOLE                       0        0    22500
MAGNACHIP SEMICONDUCTOR CORP COM              55933J203     2906   246300 SH       SOLE                  230400        0    15900
MAGNETEK INC                 COM NEW          559424403     1674   148690 SH       SOLE                  148690        0        0
MAHANAGAR TEL NIGAM LTD      SPONS ADR 2001   559778402      213   179200 SH       SOLE                  179200        0        0
MAIDEN HOLDINGS LTD          SHS              G5753U112      314    35340 SH       SOLE                       0        0    35340
MAINSOURCE FINANCIAL GP INC  COM              56062Y102     1161    90410 SH       SOLE                   87101        0     3309
MAJESCO ENTERTAINMENT CO     COM NEW          560690208      390   309241 SH       SOLE                  210000        0    99241
MAKEMUSIC INC                COM NEW          56086P202      295    74600 SH       SOLE                   74600        0        0
MAKEMYTRIP LIMITED MAURITIUS SHS              V5633W109      682    40063 SH       SOLE                   12748        0    27315
MAKITA CORP                  ADR NEW          560877300      251     6500 SH       SOLE                    6500        0        0
MANAGEMENT NETWORK GROUP INC COM NEW          561693201      140    62880 SH       SOLE                   62880        0        0
MANHATTAN ASSOCS INC         COM              562750109    15010   262100 SH       SOLE                  262100        0        0
MANNATECH INC                COM NEW          563771203      400    77160 SH       SOLE                   77160        0        0
MANNING & NAPIER INC         CL A             56382Q102      312    25601 SH       SOLE                    1400        0    24201
MARATHON PETE CORP           COM              56585A102    18834   345000 SH       SOLE                       0        0   345000
MARCHEX INC                  CL B             56624R108      706   183800 SH       SOLE                  183800        0        0
MARCUS CORP                  COM              566330106      555    50000 SH       SOLE                     800        0    49200
MARKEL CORP                  COM              570535104      413      900 SH       SOLE                       0        0      900
MARKET LEADER INC            COM              57056R103     6240   931300 SH       SOLE                  867507        0    63793
MARKET VECTORS ETF TR        GOLD MINER ETF   57060U100     1020    19000 SH       SOLE                   19000        0        0
MARKET VECTORS ETF TR        OIL SVCS ETF     57060U191     2957    73500 SH       SOLE                   73500        0        0
MARKET VECTORS ETF TR        RETAIL ETF       57060U225      552    12300 SH       SOLE                   12300        0        0
MARKETAXESS HLDGS INC        COM              57060D108    10087   319110 SH       SOLE                  276139        0    42971
MARLIN BUSINESS SVCS CORP    COM              571157106     3565   168100 SH       SOLE                  168100        0        0
MARRIOTT VACATIONS WRLDWDE C COM              57164Y107     3624   100600 SH       SOLE                   14126        0    86474
MARTEN TRANS LTD             COM              573075108     1368    77881 SH       SOLE                   74400        0     3481
MARTHA STEWART LIVING OMNIME CL A             573083102      359   116779 SH       SOLE                   59876        0    56903
MARVELL TECHNOLOGY GROUP LTD ORD              G5876H105    38912  4250344 SH       SOLE                 1593740        0  2656604
MASCO CORP                   COM              574599106     4824   320500 SH       SOLE                    1400        0   319100
MASIMO CORP                  COM              574795100     7000   289500 SH       SOLE                  289500        0        0
MASTERCARD INC               CL A             57636Q104   247501   548200 SH       SOLE                  442855        0   105345
MATERIAL SCIENCES CORP       COM              576674105     1446   158200 SH       SOLE                  149600        0     8600
MATERION CORP                COM              576690101      859    36100 SH       SOLE                      56        0    36044
MATRIX SVC CO                COM              576853105      125    11823 SH       SOLE                       0        0    11823
MATTEL INC                   COM              577081102    13525   381300 SH       SOLE                       0        0   381300
MATTERSIGHT CORP             COM              577097108      309    52200 SH       SOLE                   52200        0        0
MATTRESS FIRM HLDG CORP      COM              57722W106      583    20700 SH       SOLE                     100        0    20600
MATTSON TECHNOLOGY INC       COM              577223100      221   227910 SH       SOLE                  224722        0     3188
MAXCOM TELECOMUNICACIONES SA ADR REP PR CTF   57773A508       68    42000 SH       SOLE                   42000        0        0
MAXIM INTEGRATED PRODS INC   COM              57772K101    83868  3150300 SH       SOLE                 2434800        0   715500
MAXIMUS INC                  COM              577933104    63226  1058700 SH       SOLE                 1058700        0        0
MAXLINEAR INC                CL A             57776J100     1290   192851 SH       SOLE                  103606        0    89245
MAXWELL TECHNOLOGIES INC     COM              577767106      190    23400 SH       SOLE                       3        0    23397
MAXYGEN INC                  COM              577776107     2257   854762 SH       SOLE                  761400        0    93362
MB FINANCIAL INC NEW         COM              55264U108      730    36967 SH       SOLE                       0        0    36967
MBIA INC                     COM              55262C100     4700   464000 SH       SOLE                     115        0   463885
MBT FINL CORP                COM              578877102      237    90100 SH       SOLE                   90100        0        0
MCDONALDS CORP               COM              580135101   379606  4137400 SH       SOLE                 4137400        0        0
MCKESSON CORP                COM              58155Q103    71465   830700 SH       SOLE                  123688        0   707012
MDC PARTNERS INC             CL A SUB VTG     552697104     3582   290300 SH       SOLE                  245500        0    44800
MEAD JOHNSON NUTRITION CO    COM              582839106   113606  1550300 SH       SOLE                 1120616        0   429684
MEADOWBROOK INS GROUP INC    COM              58319P108      109    14119 SH       SOLE                       0        0    14119
MECHEL OAO                   SPONSORED ADR    583840103     6744   957900 SH       SOLE                       0        0   957900
MECOX LANE LIMITED           SPONSORED ADR    58403M102       38    61600 SH       SOLE                   61600        0        0
MEDASSETS INC                COM              584045108     1994   112000 SH       SOLE                   83892        0    28108
MEDCATH CORP                 COM              58404W109      220   153760 SH       SOLE                  116642        0    37118
MEDICAL ACTION INDS INC      COM              58449L100      167    47987 SH       SOLE                   37300        0    10687
MEDICINES CO                 COM              584688105     8707   337332 SH       SOLE                  307100        0    30232
MEDICIS PHARMACEUTICAL CORP  CL A NEW         584690309    53573  1238100 SH       SOLE                  555300        0   682800
